B1.1: ok, stessi risultati
B1.2: ok, stessi risultati
B1.3: collegamento DIVERSO ma costo UGUALE, l'utente 14 collegato originariamente al 40, nel mio al 17
B1.4: ok, stessi risultati
B1.5: ok, stessi risultati
B1.6: ok, stessi risultati
B1.7: ok, stessi risultati
B1.8: ok, stessi risultati
B1.9: ok, stessi risultati
B1.10: ok, stessi risultati
C1.1: ok, stessi risultati
C1.2: ok, stessi risultati
C1.3: ok, stessi risultati
C1.4: ok, stessi risultati
C1.5: ok, stessi risultati
C1.6: ok, stessi risultati
C1.7: ok, stessi risultati
C1.8: collegamento DIVERSO ma costo UGUALE, l'utente 35 collegato originariamente al 4, nel mio al 38
C1.9: ok, stessi risultati
C1.10: ok, stessi risultati
D1.1: ok, stessi risultati
D1.2: ok, stessi risultati
D1.3: ok, stessi risultati
D1.4: ok, stessi risultati
D1.5: ok, stessi risultati
D1.6: ok, stessi risultati
D1.7: ok, stessi risultati
D1.8: ok, stessi risultati
D1.9: ok, stessi risultati
D1.10: ok, stessi risultati
D2.1: ok, stessi risultati
D2.2: ok, stessi risultati
D2.3: ok, stessi risultati
D2.4: ok, stessi risultati
D2.5: collegamento DIVERSO ma costo UGUALE, l'utente 66 collegato originariamente al 8, nel mio al 25
D2.6: ok, stessi risultati
D2.7: ok, stessi risultati
D2.8: ok, stessi risultati
D2.9: collegamento DIVERSO ma costo UGUALE, l'utente 15 collegato originariamente al 28, nel mio al 24
D2.10: ok, stessi risultati
D3.1: ok, stessi risultati
D3.2: ok, stessi risultati
D3.3: ok, stessi risultati
D3.4: ok, stessi risultati
D3.5: ok, stessi risultati
D3.6: ok, stessi risultati
D3.7: ok, stessi risultati
D3.8: collegamento DIVERSO ma costo UGUALE, l'utente 13 collegato originariamente al 29, nel mio al 0
D3.9: ok, stessi risultati
D3.10: ok, stessi risultati
D4.1: ok, stessi risultati
D4.2: ok, stessi risultati
D4.3: ok, stessi risultati
D4.4: collegamento DIVERSO ma costo UGUALE, l'utente 74 collegato originariamente al 3, nel mio al 2
D4.5: ok, stessi risultati
D4.6: ok, stessi risultati
D4.7: ok, stessi risultati
D4.8: ok, stessi risultati
D4.9: ok, stessi risultati
D4.10: ok, stessi risultati
D5.1: ok, stessi risultati
D5.2: ok, stessi risultati
D5.3: ok, stessi risultati
D5.4: ok, stessi risultati
D5.5: ok, stessi risultati
D5.6: ok, stessi risultati
D5.7: ok, stessi risultati
D5.8: ok, stessi risultati
D5.9: collegamento DIVERSO ma costo UGUALE, l'utente 79 collegato originariamente al 29, nel mio al 12
D5.10: ok, stessi risultati
D6.1: ok, stessi risultati
D6.2: ok, stessi risultati
D6.3: ok, stessi risultati
D6.4: ok, stessi risultati
D6.5: ok, stessi risultati
D6.6: ok, stessi risultati
D6.7: ok, stessi risultati
D6.8: ok, stessi risultati
D6.9: ok, stessi risultati
D6.10: ok, stessi risultati
D7.1: ok, stessi risultati
D7.2: ok, stessi risultati
D7.3: ok, stessi risultati
D7.4: ok, stessi risultati
D7.5: ok, stessi risultati
D7.6: ok, stessi risultati
D7.7: ok, stessi risultati
D7.8: ok, stessi risultati
D7.9: collegamento DIVERSO ma costo UGUALE, l'utente 26 collegato originariamente al 19, nel mio al 27
D7.10: ok, stessi risultati
D8.1: ok, stessi risultati
D8.2: ok, stessi risultati
D8.3: ok, stessi risultati
D8.4: ok, stessi risultati
D8.5: ok, stessi risultati
D8.6: ok, stessi risultati
D8.7: ok, stessi risultati
D8.8: ok, stessi risultati
D8.9: ok, stessi risultati
D8.10: ok, stessi risultati
D9.1: ok, stessi risultati
D9.2: ok, stessi risultati
D9.3: ok, stessi risultati
D9.4: ok, stessi risultati
D9.5: ok, stessi risultati
D9.6: ok, stessi risultati
D9.7: ok, stessi risultati
D9.8: ok, stessi risultati
D9.9: ok, stessi risultati
D9.10: ok, stessi risultati
D10.1: ok, stessi risultati
D10.2: ok, stessi risultati
D10.3: ok, stessi risultati
D10.4: ok, stessi risultati
D10.5: ok, stessi risultati
D10.6: ok, stessi risultati
D10.7: ok, stessi risultati
D10.8: ok, stessi risultati
D10.9: ok, stessi risultati
D10.10: collegamento DIVERSO ma costo UGUALE, l'utente 13 collegato originariamente al 29, nel mio al 2
E1.1: collegamento DIVERSO ma costo UGUALE, l'utente 59 collegato originariamente al 13, nel mio al 40
E1.2: ok, stessi risultati
E1.3: ok, stessi risultati
E1.4: ok, stessi risultati
E1.5: ok, stessi risultati
E1.6: ok, stessi risultati
E1.7: ok, stessi risultati
E1.8: ok, stessi risultati
E1.9: ok, stessi risultati
E1.10: ok, stessi risultati
E2.1: ok, stessi risultati
E2.2: ok, stessi risultati
E2.3: ok, stessi risultati
E2.4: ok, stessi risultati
E2.5: ok, stessi risultati
E2.6: ok, stessi risultati
E2.7: ok, stessi risultati
E2.8: ok, stessi risultati
E2.9: ok, stessi risultati
E2.10: ok, stessi risultati
E3.1: ok, stessi risultati
E3.2: ok, stessi risultati
E3.3: ok, stessi risultati
E3.4: ok, stessi risultati
E3.5: ok, stessi risultati
E3.6: ok, stessi risultati
E3.7: ok, stessi risultati
E3.8: ok, stessi risultati
E3.9: ok, stessi risultati
E3.10: ok, stessi risultati
E4.1: ok, stessi risultati
E4.2: ok, stessi risultati
E4.3: ok, stessi risultati
E4.4: ok, stessi risultati
E4.5: ok, stessi risultati
E4.6: ok, stessi risultati
E4.7: ok, stessi risultati
E4.8: ok, stessi risultati
E4.9: ok, stessi risultati
E4.10: ok, stessi risultati
E5.1: ok, stessi risultati
E5.2: ok, stessi risultati
E5.3: ok, stessi risultati
E5.4: ok, stessi risultati
E5.5: ok, stessi risultati
E5.6: ok, stessi risultati
E5.7: ok, stessi risultati
E5.8: ok, stessi risultati
E5.9: ok, stessi risultati
E5.10: ok, stessi risultati
E6.1: ok, stessi risultati
E6.2: ok, stessi risultati
E6.3: ok, stessi risultati
E6.4: ok, stessi risultati
E6.5: ok, stessi risultati
E6.6: ok, stessi risultati
E6.7: ok, stessi risultati
E6.8: ok, stessi risultati
E6.9: ok, stessi risultati
E6.10: ok, stessi risultati
E7.1: ok, stessi risultati
E7.2: ok, stessi risultati
E7.3: ok, stessi risultati
E7.4: collegamento DIVERSO ma costo UGUALE, l'utente 68 collegato originariamente al 43, nel mio al 25
E7.5: ok, stessi risultati
E7.6: ok, stessi risultati
E7.7: ok, stessi risultati
E7.8: ok, stessi risultati
E7.9: ok, stessi risultati
E7.10: ok, stessi risultati
E8.1: ok, stessi risultati
E8.2: ok, stessi risultati
E8.3: ok, stessi risultati
E8.4: ok, stessi risultati
E8.5: ok, stessi risultati
E8.6: ok, stessi risultati
E8.7: ok, stessi risultati
E8.8: ok, stessi risultati
E8.9: ok, stessi risultati
E8.10: ok, stessi risultati
E9.1: ok, stessi risultati
E9.2: ok, stessi risultati
E9.3: ok, stessi risultati
E9.4: ok, stessi risultati
E9.5: ok, stessi risultati
E9.6: ok, stessi risultati
E9.7: ok, stessi risultati
E9.8: ok, stessi risultati
E9.9: ok, stessi risultati
E9.10: ok, stessi risultati
E10.1: ok, stessi risultati
E10.2: ok, stessi risultati
E10.3: ok, stessi risultati
E10.4: ok, stessi risultati
E10.5: ok, stessi risultati
E10.6: ok, stessi risultati
E10.7: ok, stessi risultati
E10.8: ok, stessi risultati
E10.9: ok, stessi risultati
E10.10: ok, stessi risultati
